시간,시가,고가,저가,종가,5,20,120,거래량,거래대금
2024-06-19,"63,500","64,300","63,000","63,300","63,220.00","62,440.00","63,240.83","1,065,178","67,677,785,700"
2024-06-18,"62,800","63,400","62,600","62,900","62,900.00","62,485.00","63,201.67","1,647,331","103,794,211,600"
2024-06-17,"63,800","64,200","62,300","62,400","62,600.00","62,570.00","63,169.17","1,577,175","99,441,862,124"
2024-06-14,"64,500","64,500","63,400","64,400","62,620.00","62,665.00","63,143.33","1,919,777","123,234,089,930"
2024-06-13,"62,900","63,400","62,300","63,100","62,300.00","62,680.00","63,105.83","1,731,152","108,845,032,797"
2024-06-12,"61,300","62,100","61,000","61,700","62,200.00","62,750.00","63,075.00","1,301,467","79,873,262,100"
2024-06-11,"62,400","62,400","61,400","61,400","62,080.00","62,915.00","63,056.67","1,309,767","80,819,058,868"
2024-06-10,"62,400","62,600","62,000","62,500","62,100.00","63,085.00","63,035.00","841,534","52,468,536,500"
2024-06-07,"64,600","64,600","62,800","62,800","61,660.00","63,240.00","63,000.83","1,336,861","84,704,809,900"
2024-06-05,"63,100","63,400","62,200","62,600","61,260.00","63,435.00","62,955.00","1,429,076","89,524,432,998"
2024-06-04,"61,200","61,700","61,000","61,100","61,040.00","63,650.00","62,914.17","927,776","56,941,899,225"
2024-06-03,"60,900","62,200","60,700","61,500","61,440.00","63,825.00","62,885.83","1,295,203","79,735,820,100"
2024-05-31,"60,900","61,400","60,300","60,300","61,660.00","64,000.00","62,862.50","3,418,709","206,696,141,863"
2024-05-30,"61,400","62,100","60,600","60,800","62,020.00","64,245.00","62,842.50","1,381,733","84,470,661,183"
2024-05-29,"63,800","63,800","61,500","61,500","62,760.00","64,440.00","62,818.33","1,792,633","111,709,279,908"
2024-05-28,"62,800","63,700","62,400","63,100","63,300.00","64,580.00","62,787.50","1,106,152","69,891,751,676"
2024-05-27,"62,100","63,700","61,100","62,600","63,520.00","64,630.00","62,744.17","2,290,293","141,998,394,300"
2024-05-24,"63,100","63,400","62,100","62,100","63,920.00","64,770.00","62,697.50","2,626,905","164,415,934,361"
2024-05-23,"64,200","64,700","63,800","64,500","64,360.00","64,840.00","62,656.67","1,039,153","66,767,270,900"
2024-05-22,"64,400","65,000","63,700","64,200","64,400.00","64,810.00","62,597.50","870,866","55,990,647,400"
2024-05-21,"64,300","64,600","64,100","64,200","64,460.00","64,860.00","62,536.67","814,439","52,419,414,248"
2024-05-20,"64,300","64,900","64,200","64,600","64,620.00","64,965.00","62,480.83","676,182","43,630,830,600"
2024-05-17,"64,800","64,800","64,000","64,300","64,660.00","65,050.00","62,421.67","945,505","60,771,049,266"
2024-05-16,"65,600","65,700","64,200","64,700","64,920.00","65,165.00","62,365.00","1,285,603","83,320,346,700"
2024-05-14,"64,700","64,900","64,400","64,500","65,320.00","65,320.00","62,309.17","489,182","31,620,185,900"
2024-05-13,"64,900","65,200","64,000","65,000","65,800.00","65,550.00","62,252.50","683,645","44,077,297,900"
2024-05-10,"65,800","66,300","64,800","64,800","65,720.00","65,760.00","62,187.50","967,109","63,047,032,700"
2024-05-09,"66,700","66,800","65,500","65,600","65,760.00","65,935.00","62,117.50","672,525","44,435,288,600"
2024-05-08,"66,300","66,700","66,000","66,700","65,680.00","66,110.00","62,043.33","757,341","50,340,363,109"
2024-05-07,"66,200","66,900","65,700","66,900","65,280.00","66,225.00","61,961.67","1,556,518","103,304,066,500"
2024-05-03,"65,700","65,700","64,600","64,600","64,760.00","66,345.00","61,880.00","489,281","31,830,684,600"
2024-05-02,"65,000","65,500","64,600","65,000","64,660.00","66,530.00","61,821.67","750,199","48,848,976,600"
2024-04-30,"64,700","66,000","64,600","65,200","64,740.00","66,775.00","61,756.67","1,319,915","86,394,781,300"
2024-04-29,"64,700","64,900","64,000","64,700","64,400.00","66,915.00","61,685.00","814,870","52,566,387,100"
2024-04-26,"64,700","65,000","64,300","64,300","64,240.00","67,080.00","61,615.00","655,555","42,374,847,100"
2024-04-25,"64,500","64,800","63,900","64,100","64,420.00","67,225.00","61,542.50","939,691","60,414,417,076"
2024-04-24,"64,200","65,800","64,200","65,400","64,860.00","67,360.00","61,455.00","1,613,969","104,938,296,900"
2024-04-23,"64,500","64,800","63,500","63,500","65,040.00","67,420.00","61,358.33","973,609","62,412,513,100"
2024-04-22,"64,300","64,900","63,100","63,900","65,660.00","67,530.00","61,275.83","1,454,100","93,090,946,640"
2024-04-19,"65,900","66,000","63,900","65,200","66,440.00","67,670.00","61,193.33","1,494,390","96,899,792,100"
2024-04-18,"65,800","66,800","65,400","66,300","67,220.00","67,700.00","61,106.67","956,049","63,375,583,800"
2024-04-17,"67,000","67,200","65,900","66,300","67,800.00","67,575.00","61,007.50","1,052,505","69,977,655,800"
2024-04-16,"67,200","67,200","66,100","66,600","68,200.00","67,350.00","60,910.00","1,959,882","130,422,321,738"
2024-04-15,"67,800","68,200","67,000","67,800","68,700.00","67,140.00","60,813.33","1,257,330","84,894,324,809"
2024-04-12,"69,900","69,900","68,600","69,100","68,940.00","66,850.00","60,705.00","1,010,055","69,858,751,277"
2024-04-11,"68,100","69,200","67,700","69,200","68,980.00","66,580.00","60,587.50","1,242,790","85,174,115,000"
2024-04-09,"69,000","69,000","68,100","68,300","68,800.00","66,285.00","60,469.17","1,158,317","79,387,685,940"
2024-04-08,"69,900","70,000","68,700","69,100","69,120.00","66,010.00","60,353.33","1,419,868","98,413,932,600"
2024-04-05,"68,800","69,000","68,100","69,000","68,900.00","65,675.00","60,238.33","1,170,158","80,383,326,400"
2024-04-04,"69,200","69,500","68,300","69,300","68,700.00","65,375.00","60,127.50","1,250,368","86,192,830,800"
2024-04-03,"69,200","69,600","68,200","68,300","68,280.00","65,035.00","60,007.50","2,039,317","140,456,615,250"
2024-04-02,"68,900","70,000","68,500","69,900","67,980.00","64,750.00","59,887.50","2,831,703","196,566,114,984"
2024-04-01,"68,500","68,700","67,600","68,000","67,320.00","64,410.00","59,746.67","1,385,587","94,287,713,200"
2024-03-29,"67,300","68,200","67,100","68,000","66,860.00","64,200.00","59,627.50","1,792,197","121,695,607,500"
2024-03-28,"66,700","67,300","66,500","67,200","66,600.00","63,980.00","59,505.00","1,391,204","93,164,446,880"
2024-03-27,"66,600","66,800","66,200","66,800","66,320.00","63,690.00","59,399.17","1,454,594","96,986,118,488"
2024-03-26,"66,400","66,800","66,200","66,600","65,720.00","63,420.00","59,294.17","1,788,012","119,073,743,802"
2024-03-25,"66,700","67,200","65,500","65,700","64,760.00","63,190.00","59,195.00","1,403,032","92,819,718,500"
2024-03-22,"67,000","67,100","65,700","66,700","64,100.00","63,065.00","59,105.83","3,638,838","241,446,901,402"
2024-03-21,"65,000","65,800","64,500","65,800","63,160.00","62,890.00","59,015.00","3,545,573","231,162,355,200"
2024-03-20,"62,500","63,900","62,000","63,800","62,740.00","62,755.00","58,934.17","2,995,420","190,185,232,174"
2024-03-19,"62,200","62,400","61,200","61,800","62,640.00","62,710.00","58,876.67","1,056,345","65,119,959,023"
2024-03-18,"62,100","62,600","62,100","62,400","62,840.00","62,745.00","58,833.33","821,960","51,309,067,166"
2024-03-15,"63,200","63,300","62,000","62,000","62,840.00","62,750.00","58,797.50","1,946,388","121,540,768,606"
2024-03-14,"63,800","63,800","63,300","63,700","63,040.00","62,750.00","58,762.50","1,160,177","73,730,476,200"
2024-03-13,"63,000","63,300","62,900","63,300","62,800.00","62,715.00","58,710.83","1,010,356","63,793,177,200"
2024-03-12,"62,500","62,800","62,200","62,800","62,660.00","62,740.00","58,660.00","1,027,588","64,177,209,767"
2024-03-11,"63,000","63,000","62,000","62,400","62,720.00","62,700.00","58,610.00","864,887","53,917,525,700"
2024-03-08,"63,000","63,000","62,600","63,000","63,000.00","62,675.00","58,565.83","1,493,858","93,830,060,166"
2024-03-07,"63,000","63,000","62,200","62,500","63,120.00","62,565.00","58,520.83","1,071,233","67,092,409,800"
2024-03-06,"63,000","63,000","62,000","62,600","62,900.00","62,495.00","58,477.50","1,185,626","74,149,238,850"
2024-03-05,"63,800","63,800","63,100","63,100","62,660.00","62,420.00","58,435.83","1,040,939","65,909,483,593"
2024-03-04,"63,600","63,800","63,200","63,800","62,440.00","62,250.00","58,389.17","2,452,446","155,940,796,000"
2024-02-29,"61,300","63,600","61,100","63,600","62,320.00","61,995.00","58,331.67","2,885,230","181,720,352,455"
2024-02-28,"61,500","62,000","61,000","61,400","62,240.00","61,805.00","58,251.67","847,453","52,185,460,284"
2024-02-27,"61,900","62,100","61,400","61,400","62,580.00","61,760.00","58,197.50","1,462,903","90,287,153,064"
2024-02-26,"62,400","62,700","62,000","62,000","62,880.00","61,665.00","58,141.67","922,415","57,432,569,290"
2024-02-23,"63,500","63,500","62,800","63,200","62,980.00","61,560.00","58,081.67","1,174,513","74,239,339,200"
2024-02-22,"63,000","63,200","62,700","63,200","62,840.00","61,430.00","58,015.00","1,000,039","62,997,161,700"
