시간,시가,고가,저가,종가,5,20,120,거래량,거래대금
2024-06-19,"21,400","21,800","21,150","21,250","19,918.00","18,214.50","17,594.75","2,335,280","50,180,297,000"
2024-06-18,"19,500","22,450","19,350","21,700","19,292.00","18,066.00","17,552.00","20,346,356","441,510,462,430"
2024-06-17,"18,810","19,770","18,470","19,550","18,392.00","17,885.50","17,506.25","3,698,877","71,273,298,790"
2024-06-14,"18,400","18,830","18,240","18,700","17,964.00","17,808.00","17,476.67","1,568,199","29,182,866,750"
2024-06-13,"18,280","18,880","18,150","18,390","17,670.00","17,816.00","17,455.25","2,186,455","40,487,609,190"
2024-06-12,"17,200","18,540","17,130","18,120","17,356.00","17,849.00","17,437.92","2,393,330","43,311,657,340"
2024-06-11,"17,510","17,520","17,190","17,200","17,242.00","17,869.00","17,424.08","748,634","12,975,903,260"
2024-06-10,"17,240","17,610","17,130","17,410","17,374.00","17,942.50","17,416.25","900,697","15,684,065,180"
2024-06-07,"17,110","17,650","17,110","17,230","17,382.00","18,002.50","17,402.08","1,247,945","21,692,362,970"
2024-06-05,"17,450","17,590","16,810","16,820","17,420.00","18,093.50","17,392.00","1,766,490","30,066,654,310"
2024-06-04,"17,710","17,740","17,350","17,550","17,612.00","18,211.50","17,385.33","841,977","14,742,504,210"
2024-06-03,"17,500","18,140","17,500","17,860","17,786.00","18,291.00","17,373.17","1,251,842","22,311,768,950"
2024-05-31,"17,600","17,850","17,360","17,450","17,812.00","18,382.50","17,359.42","947,079","16,601,649,330"
2024-05-30,"17,760","17,900","17,360","17,420","17,886.00","18,494.00","17,349.42","1,222,148","21,395,932,090"
2024-05-29,"18,420","18,420","17,640","17,780","17,962.00","18,640.50","17,338.42","1,316,943","23,558,004,810"
2024-05-28,"18,130","18,640","17,860","18,420","17,972.00","18,748.50","17,321.75","1,648,039","30,322,227,690"
2024-05-27,"18,050","18,060","17,580","17,990","17,944.00","18,758.50","17,295.58","1,020,219","18,201,357,190"
2024-05-24,"17,600","18,030","17,570","17,820","17,964.00","18,764.50","17,271.92","643,113","11,455,825,220"
2024-05-23,"17,760","17,900","17,500","17,800","18,000.00","18,769.50","17,255.08","741,059","13,132,046,810"
2024-05-22,"18,370","18,500","17,770","17,830","18,212.00","18,726.50","17,236.75","1,252,146","22,615,169,390"
2024-05-21,"18,010","18,340","17,870","18,280","18,456.00","18,675.50","17,212.42","887,806","16,113,056,410"
2024-05-20,"17,990","18,230","17,820","18,090","18,504.00","18,600.00","17,181.75","803,107","14,483,831,460"
2024-05-17,"18,860","18,940","17,960","18,000","18,620.00","18,506.50","17,154.08","1,794,695","32,781,876,460"
2024-05-16,"19,180","19,250","18,720","18,860","18,742.00","18,420.50","17,127.25","1,323,660","25,015,031,540"
2024-05-14,"18,600","19,200","18,600","19,050","18,780.00","18,312.50","17,094.17","1,800,174","34,257,922,480"
2024-05-13,"18,620","18,920","18,450","18,520","18,806.00","18,215.50","17,060.17","1,038,885","19,370,070,040"
2024-05-10,"18,730","19,060","18,540","18,670","18,930.00","18,139.00","17,027.17","1,072,816","20,134,159,650"
2024-05-09,"19,050","19,140","18,610","18,610","19,134.00","18,062.50","16,990.75","1,368,206","25,660,031,130"
2024-05-08,"19,180","19,320","18,770","19,050","19,348.00","17,994.50","16,954.58","1,288,712","24,451,681,110"
