시간,시가,고가,저가,종가,5,20,120,거래량,거래대금
2024-06-19,"180,900","183,300","180,000","181,300","181,240.00","183,275.00","185,400.00","212,744","38,634,832,200"
2024-06-18,"179,800","181,200","178,200","179,100","182,500.00","183,520.00","185,395.00","456,842","82,168,641,900"
2024-06-17,"183,400","183,900","179,700","179,800","185,200.00","183,915.00","185,379.17","604,921","109,175,557,000"
2024-06-14,"182,700","186,400","179,700","183,400","187,140.00","184,500.00","185,298.33","1,006,471","184,350,933,000"
2024-06-13,"189,600","191,600","182,600","182,600","188,680.00","184,980.00","185,299.17","1,454,028","268,942,302,900"
2024-06-12,"194,900","195,000","187,300","187,600","190,220.00","185,395.00","185,275.00","919,072","174,311,022,700"
2024-06-11,"190,000","195,000","188,700","192,600","190,320.00","185,555.00","185,240.00","784,211","151,220,951,600"
2024-06-10,"188,500","192,700","186,600","189,500","187,600.00","185,570.00","185,115.83","541,848","102,930,403,100"
2024-06-07,"191,800","192,600","188,500","191,100","184,940.00","185,580.00","184,934.17","494,141","94,279,487,200"
2024-06-05,"189,400","193,600","188,200","190,300","182,180.00","185,755.00","184,655.00","890,135","169,918,977,800"
2024-06-04,"177,900","189,900","177,900","188,100","179,900.00","185,960.00","184,403.33","1,291,227","240,414,567,600"
2024-06-03,"177,200","180,700","176,800","179,000","178,460.00","186,005.00","184,190.83","309,816","55,517,030,900"
2024-05-31,"179,700","182,000","176,100","176,200","178,580.00","186,430.00","184,054.17","882,885","156,424,974,972"
2024-05-30,"177,500","181,400","177,200","177,300","179,320.00","187,070.00","183,945.00","357,482","63,825,191,800"
2024-05-29,"179,200","179,900","177,100","178,900","180,560.00","187,390.00","183,825.00","493,642","88,103,082,500"
2024-05-28,"179,600","182,400","178,500","180,900","181,740.00","187,275.00","183,681.67","411,965","74,323,942,500"
2024-05-27,"180,600","181,200","178,500","179,600","182,800.00","187,100.00","183,549.17","401,269","71,980,630,400"
2024-05-24,"182,600","183,800","179,600","179,900","184,280.00","187,095.00","183,409.17","487,217","87,972,694,900"
2024-05-23,"183,800","185,500","183,500","183,500","186,600.00","187,085.00","183,310.00","289,295","53,239,784,400"
2024-05-22,"186,500","188,000","184,200","184,800","188,500.00","186,845.00","183,221.67","310,558","57,694,340,400"
2024-05-21,"185,500","187,800","185,000","186,200","189,720.00","186,250.00","183,117.50","239,148","44,606,974,900"
2024-05-20,"193,300","193,500","184,700","187,000","190,640.00","185,795.00","183,000.83","529,601","99,595,500,400"
2024-05-17,"190,200","192,400","188,500","191,500","191,820.00","184,995.00","182,858.33","1,000,223","181,087,840,472"
2024-05-16,"193,800","195,400","192,300","193,000","191,460.00","184,020.00","182,665.83","466,199","90,181,467,600"
2024-05-14,"189,400","191,700","188,800","190,900","191,780.00","183,300.00","182,459.17","277,583","52,850,418,200"
2024-05-13,"193,000","193,300","188,300","190,800","192,480.00","182,865.00","182,243.33","443,306","84,309,246,400"
2024-05-10,"193,300","196,900","192,000","192,900","192,120.00","182,300.00","181,979.17","715,282","138,766,589,100"
2024-05-09,"194,800","196,000","189,700","189,700","191,040.00","181,720.00","181,678.33","803,653","153,570,987,900"
2024-05-08,"195,400","196,300","193,500","194,600","190,900.00","181,660.00","181,407.50","464,008","90,328,324,700"
2024-05-07,"191,000","197,000","191,000","194,400","188,720.00","180,805.00","181,102.50","1,067,170","208,243,723,800"
2024-05-03,"188,900","189,600","187,200","189,000","185,160.00","180,065.00","180,795.00","294,979","55,613,218,100"
2024-05-02,"187,900","190,700","187,000","187,500","182,840.00","179,640.00","180,516.67","525,670","99,337,179,600"
2024-04-30,"183,700","191,200","183,000","189,000","181,240.00","179,455.00","180,270.00","1,227,117","231,964,826,922"
2024-04-29,"178,500","183,800","178,500","183,700","179,380.00","179,410.00","179,944.17","642,499","117,031,980,600"
2024-04-26,"177,500","178,800","176,300","176,600","178,380.00","179,785.00","179,661.67","221,176","39,205,679,600"
2024-04-25,"177,700","179,000","176,100","177,400","177,640.00","180,145.00","179,435.00","307,643","54,542,763,900"
2024-04-24,"180,200","180,900","179,100","179,500","177,580.00","180,485.00","179,202.50","279,156","50,195,536,700"
2024-04-23,"178,800","179,700","177,600","179,700","175,880.00","180,830.00","178,950.83","300,796","53,875,585,100"
2024-04-22,"175,700","178,700","174,700","178,700","174,340.00","181,290.00","178,699.17","430,487","76,169,691,500"
2024-04-19,"175,000","175,400","171,000","172,900","174,320.00","181,765.00","178,457.50","504,100","87,280,207,500"
2024-04-18,"172,900","177,800","172,800","177,100","176,180.00","182,410.00","178,267.50","474,859","83,550,686,300"
2024-04-17,"173,200","177,000","169,700","171,000","176,660.00","182,710.00","178,042.50","686,492","118,546,714,600"
2024-04-16,"177,300","178,300","171,800","172,000","178,720.00","183,380.00","177,789.17","635,729","110,844,010,544"
2024-04-15,"180,000","180,800","178,500","178,600","182,020.00","183,905.00","177,540.83","362,320","64,834,121,500"
2024-04-12,"179,400","183,300","178,100","182,200","181,800.00","184,015.00","177,238.33","478,462","86,603,973,800"
2024-04-11,"177,700","180,700","177,500","179,500","181,280.00","183,875.00","176,905.83","525,614","94,068,444,800"
2024-04-09,"190,000","190,700","181,300","181,300","181,480.00","183,840.00","176,618.33","777,489","144,238,166,900"
2024-04-08,"177,000","190,900","176,100","188,500","181,980.00","183,860.00","176,311.67","1,052,158","194,691,343,700"
2024-04-05,"178,000","179,300","177,300","177,500","181,900.00","183,410.00","175,940.00","335,027","59,604,195,200"
2024-04-04,"182,400","182,700","179,600","179,600","184,640.00","183,550.00","175,661.67","319,262","57,688,262,400"
2024-04-03,"181,600","182,300","179,600","180,500","185,480.00","183,425.00","175,339.17","477,642","86,323,344,400"
2024-04-02,"186,800","187,700","183,800","183,800","186,220.00","183,430.00","175,003.33","515,062","95,381,651,900"
2024-04-01,"193,500","194,100","187,000","188,100","186,740.00","183,030.00","174,613.33","674,352","127,772,937,500"
2024-03-29,"184,000","192,800","184,000","191,200","186,900.00","182,430.00","174,144.17","1,432,508","273,111,255,100"
2024-03-28,"182,500","186,300","182,000","183,800","186,300.00","181,855.00","173,683.33","896,928","159,617,673,795"
2024-03-27,"184,500","186,000","180,300","184,200","186,700.00","182,165.00","173,311.67","644,326","118,070,414,800"
2024-03-26,"188,800","191,500","185,500","186,400","186,480.00","182,460.00","172,915.00","690,399","129,995,702,400"
2024-03-25,"190,200","192,400","188,900","188,900","186,080.00","182,215.00","172,522.50","646,054","122,879,697,900"
