시간,시가,고가,저가,종가,5,20,120,거래량,거래대금
2024-06-19,"695,000","718,000","651,000","673,000","666,000.00","580,025.00","286,137.50","283,532","193,894,895,000"
2024-06-18,"700,000","712,000","671,000","712,000","652,800.00","571,250.00","282,416.67","188,158","130,009,090,000"
2024-06-17,"655,000","698,000","648,000","686,000","628,400.00","560,750.00","278,308.33","222,956","151,278,258,000"
2024-06-14,"630,000","688,000","628,000","647,000","615,000.00","548,775.00","274,350.00","330,275","217,544,866,000"
2024-06-13,"594,000","625,000","589,000","612,000","606,200.00","533,600.00","270,762.50","159,914","97,528,863,000"
2024-06-12,"600,000","610,000","585,000","607,000","600,000.00","519,775.00","267,458.33","107,489","64,601,850,000"
2024-06-11,"621,000","635,000","582,000","590,000","587,600.00","505,875.00","264,162.50","169,084","102,004,582,000"
2024-06-10,"611,000","639,000","599,000","619,000","587,000.00","492,650.00","261,000.00","153,346","95,230,641,000"
2024-06-07,"610,000","641,000","594,000","603,000","569,000.00","477,200.00","257,537.50","214,014","131,336,669,000"
2024-06-05,"550,000","589,000","546,000","581,000","554,000.00","462,100.00","254,245.83","171,046","97,946,886,000"
2024-06-04,"579,000","580,000","526,000","545,000","545,400.00","448,325.00","251,187.50","190,939","105,283,464,000"
2024-06-03,"553,000","604,000","547,000","587,000","544,200.00","436,225.00","248,387.50","275,536","158,304,432,000"
2024-05-31,"524,000","532,000","512,000","529,000","530,800.00","422,000.00","245,258.33","76,712","40,209,924,000"
2024-05-30,"537,000","538,000","515,000","528,000","525,200.00","410,325.00","242,645.83","93,900","49,210,810,000"
2024-05-29,"535,000","552,000","528,000","538,000","517,300.00","398,950.00","240,008.33","106,987","57,547,960,000"
2024-05-28,"525,000","566,000","519,000","539,000","508,700.00","386,400.00","237,329.17","179,025","96,822,094,000"
2024-05-27,"505,000","545,000","492,000","520,000","500,400.00","373,800.00","234,658.33","204,200","107,382,980,500"
2024-05-24,"486,000","517,000","478,500","501,000","496,800.00","362,300.00","232,137.50","190,653","95,413,248,000"
2024-05-23,"491,500","503,000","481,000","488,500","485,900.00","351,425.00","229,766.67","138,604","68,060,407,500"
2024-05-22,"493,500","527,000","492,000","495,000","456,900.00","341,650.00","227,487.50","192,817","97,829,299,000"
2024-05-21,"507,000","537,000","487,500","497,500","425,000.00","330,450.00","225,041.67","302,892","155,034,756,500"
2024-05-20,"487,500","579,000","487,500","502,000","391,300.00","319,000.00","222,520.00","676,388","354,110,158,000"
2024-05-17,"446,500","446,500","446,500","446,500","356,000.00","306,925.00","219,961.67","88,024","39,302,716,000"
2024-05-16,"340,000","348,500","337,000","343,500","328,700.00","296,900.00","217,850.83","62,744","21,614,042,500"
2024-05-14,"334,500","343,500","322,000","335,500","320,200.00","291,850.00","216,635.00","75,011","25,141,659,500"
2024-05-13,"331,500","353,000","324,000","329,000","314,200.00","287,075.00","215,502.50","143,339","48,202,687,500"
2024-05-10,"310,000","333,000","310,000","325,500","309,000.00","282,275.00","214,510.83","105,083","34,015,081,000"
2024-05-09,"300,000","314,000","298,000","310,000","304,400.00","277,125.00","213,548.33","67,142","20,543,799,500"
2024-05-08,"312,000","312,000","295,500","301,000","301,500.00","272,450.00","212,723.33","63,509","19,147,405,500"
2024-05-07,"304,000","315,500","299,500","305,500","301,400.00","268,250.00","211,985.83","65,343","20,132,630,000"
2024-05-03,"302,000","308,500","298,500","303,000","297,700.00","263,950.00","211,144.17","49,300","15,021,098,500"
2024-05-02,"299,500","310,500","297,500","302,500","294,500.00","259,700.00","210,302.50","71,900","21,819,961,500"
2024-04-30,"300,000","303,500","292,500","295,500","292,000.00","255,350.00","209,438.33","71,519","21,287,873,500"
2024-04-29,"285,000","300,500","284,500","300,500","289,600.00","251,475.00","208,594.17","83,738","24,525,327,500"
2024-04-26,"287,500","288,500","280,000","287,000","288,100.00","246,975.00","207,710.83","59,641","16,916,880,500"
2024-04-25,"289,000","295,500","280,500","287,000","284,900.00","243,225.00","206,900.83","73,547","21,225,230,500"
2024-04-24,"282,000","294,000","276,500","290,000","281,200.00","239,025.00","206,037.50","80,257","23,019,663,000"
2024-04-23,"294,000","296,500","271,000","283,500","275,300.00","234,825.00","205,159.17","165,295","46,421,833,000"
2024-04-22,"274,500","293,000","272,000","293,000","267,800.00","230,975.00","204,317.50","162,023","46,347,593,000"
2024-04-19,"269,500","277,000","265,000","271,000","257,700.00","225,975.00","203,438.33","86,459","23,264,784,000"
2024-04-18,"267,500","273,000","258,500","268,500","251,500.00","221,865.00","202,770.83","130,174","34,621,471,000"
2024-04-17,"253,000","266,000","251,500","260,500","244,400.00","217,950.00","202,085.00","132,348","34,439,738,500"
2024-04-16,"242,500","259,000","240,500","246,000","236,800.00","214,485.00","201,480.00","123,649","30,871,721,000"
2024-04-15,"238,500","248,000","231,500","242,500","230,900.00","212,050.00","200,980.00","81,581","19,471,173,500"
2024-04-12,"233,000","250,500","232,500","240,000","225,800.00","209,690.00","200,556.67","126,160","30,572,797,500"
2024-04-11,"220,500","237,000","213,000","233,000","221,700.00","206,935.00","200,147.50","124,874","28,714,218,000"
2024-04-09,"218,000","224,000","215,000","222,500","218,700.00","204,625.00","199,817.50","41,051","9,027,772,000"
2024-04-08,"217,000","223,500","215,500","216,500","217,300.00","203,025.00","199,581.67","40,095","8,780,107,500"
