시간,시가,고가,저가,종가,5,20,120,거래량,거래대금
2024-06-19,"16,480","16,680","15,860","15,970","15,596.00","16,743.50","11,883.56","5,497,383","89,448,602,040"
2024-06-18,"15,730","16,170","15,610","15,790","15,552.00","16,910.00","11,821.48","4,081,064","64,839,032,360"
2024-06-17,"16,000","16,010","15,210","15,650","15,478.00","17,104.50","11,762.11","3,503,493","54,803,702,060"
2024-06-14,"15,100","15,930","15,090","15,550","15,492.00","17,240.00","11,707.54","8,978,950","139,687,307,270"
2024-06-13,"16,010","16,710","14,050","15,020","15,462.00","17,391.50","11,668.88","28,017,324","428,821,772,320"
2024-06-12,"15,530","15,960","15,320","15,750","15,568.00","17,502.50","11,631.67","4,315,830","67,557,605,570"
2024-06-11,"15,900","15,970","15,220","15,420","15,638.00","17,620.50","11,589.89","4,405,939","68,043,424,850"
2024-06-10,"15,170","15,890","15,120","15,720","15,872.00","17,579.50","11,549.73","6,695,172","103,907,446,120"
2024-06-07,"15,560","15,780","15,330","15,400","16,070.00","17,512.50","11,507.08","4,433,084","68,838,311,770"
2024-06-05,"16,070","16,090","15,390","15,550","16,450.00","17,445.50","11,467.99","6,316,893","98,559,592,380"
2024-06-04,"16,680","16,740","15,950","16,100","16,954.00","17,383.00","11,429.63","5,610,149","90,658,082,110"
2024-06-03,"16,540","17,260","16,320","16,590","17,472.00","17,232.00","11,385.99","6,545,454","109,080,448,230"
2024-05-31,"17,330","17,450","16,710","16,710","17,956.00","17,077.00","11,339.57","7,406,336","125,763,154,410"
2024-05-30,"17,950","18,230","17,200","17,300","18,450.00","16,929.50","11,290.55","6,527,281","114,606,578,560"
2024-05-29,"18,930","19,190","18,050","18,070","18,740.00","16,775.00","11,236.47","7,351,170","135,605,632,060"
2024-05-28,"19,100","19,300","18,540","18,690","18,856.00","16,561.50","11,174.83","7,128,819","134,468,875,260"
2024-05-27,"19,320","19,400","18,620","19,010","18,978.00","16,242.00","11,110.29","8,784,723","167,091,381,190"
2024-05-24,"18,180","19,730","18,150","19,180","19,112.00","15,924.00","11,043.02","17,602,796","338,269,211,440"
2024-05-23,"18,000","18,890","17,530","18,750","18,948.00","15,585.00","10,974.33","13,180,161","241,471,039,450"
2024-05-22,"19,500","19,820","18,510","18,650","18,914.00","15,270.00","10,908.38","12,991,055","247,867,674,810"
2024-05-21,"19,890","20,950","19,020","19,300","18,632.00","14,975.00","10,843.58","24,760,806","493,257,389,180"
2024-05-20,"19,200","19,950","18,550","19,680","18,394.00","14,665.00","10,773.35","38,903,320","755,939,203,910"
2024-05-17,"18,200","18,900","17,700","18,360","17,378.00","14,286.50","10,700.11","16,959,726","309,817,456,430"
2024-05-16,"17,660","18,800","17,270","18,580","16,582.00","13,968.00","10,637.03","35,903,868","652,295,255,480"
2024-05-14,"18,430","18,540","17,000","17,240","15,678.00","13,708.00","10,573.19","28,425,492","504,635,580,630"
2024-05-13,"15,000","18,900","14,640","18,110","15,090.00","13,512.50","10,520.67","85,375,344","1,493,846,521,160"
2024-05-10,"14,570","14,920","14,120","14,600","14,084.00","13,254.50","10,459.45","12,132,535","176,616,739,360"
2024-05-09,"14,400","14,690","13,970","14,380","13,862.00","13,174.50","10,426.35","7,391,615","105,701,881,800"
2024-05-08,"14,150","14,600","13,910","14,060","13,738.00","13,110.50","10,395.77","9,705,604","138,707,686,360"
2024-05-07,"13,190","14,480","13,190","14,300","13,768.00","13,047.00","10,369.36","17,865,402","252,654,305,190"
2024-05-03,"13,540","13,700","13,080","13,080","13,668.00","12,903.00","10,340.80","4,652,395","61,995,481,290"
2024-05-02,"13,580","13,800","13,260","13,490","13,512.00","12,785.00","10,324.15","5,062,726","68,422,115,060"
2024-04-30,"14,380","14,610","13,720","13,760","13,344.00","12,652.00","10,306.73","10,445,696","147,561,086,450"
2024-04-29,"13,840","14,670","13,560","14,210","13,072.00","12,503.50","10,281.84","24,093,128","343,131,521,590"
2024-04-26,"12,560","14,090","12,560","13,800","12,720.00","12,313.50","10,251.84","33,239,860","451,928,063,770"
