시간,시가,고가,저가,종가,5,20,120,거래량,거래대금
2024-06-19,"266,000","275,000","264,000","269,500","277,600.00","293,050.00","237,721.67","177,605","47,800,138,500"
2024-06-18,"278,000","278,500","269,000","269,500","279,500.00","295,450.00","236,135.00","286,007","77,556,666,500"
2024-06-17,"277,000","288,000","270,500","276,000","282,800.00","297,350.00","234,550.83","725,105","200,994,386,000"
2024-06-14,"276,500","297,000","269,500","297,000","283,200.00","298,100.00","232,873.33","500,525","142,589,178,500"
2024-06-13,"279,000","287,000","273,500","276,000","279,700.00","297,750.00","230,996.67","258,953","72,222,204,000"
2024-06-12,"290,000","290,500","276,500","279,000","283,400.00","298,650.00","229,282.50","205,327","57,437,019,500"
2024-06-11,"284,500","292,000","280,500","286,000","287,800.00","299,725.00","227,566.67","284,291","81,356,810,000"
2024-06-10,"278,000","293,000","275,000","278,000","289,600.00","300,325.00","225,791.67","279,950","79,162,485,500"
2024-06-07,"293,500","296,500","278,000","279,500","292,700.00","301,875.00","224,088.33","353,564","100,530,294,500"
2024-06-05,"296,500","298,000","285,500","294,500","292,100.00","301,325.00","222,349.17","284,237","82,788,863,000"
2024-06-04,"293,000","301,500","287,000","301,000","291,400.00","299,575.00","220,485.83","242,655","71,494,787,500"
2024-06-03,"292,000","303,000","287,000","295,000","292,600.00","298,025.00","218,547.50","290,155","85,566,436,000"
2024-05-31,"278,000","293,500","264,500","293,500","295,700.00","297,200.00","216,656.67","1,566,286","450,247,893,500"
2024-05-30,"287,500","296,500","275,000","276,500","303,300.00","296,825.00","214,727.50","415,489","117,743,380,500"
2024-05-29,"296,000","300,500","282,000","291,000","312,600.00","297,950.00","212,935.00","572,384","166,422,565,000"
2024-05-28,"313,000","317,000","303,000","307,000","319,800.00","297,425.00","211,014.17","301,900","93,475,313,000"
2024-05-27,"338,000","343,000","304,500","310,500","321,900.00","296,200.00","208,960.00","594,594","193,777,761,500"
2024-05-24,"316,000","334,500","316,000","331,500","321,300.00","294,475.00","206,884.17","264,532","86,975,465,500"
2024-05-23,"327,500","331,000","318,000","323,000","313,200.00","291,650.00","204,635.00","231,786","75,516,686,000"
2024-05-22,"323,000","332,500","315,000","327,000","306,600.00","289,250.00","202,465.00","371,712","120,770,722,500"
2024-05-21,"311,500","342,500","304,500","317,500","300,000.00","287,875.00","200,270.83","837,014","273,891,228,000"
2024-05-20,"291,000","310,000","288,500","307,500","296,600.00","287,775.00","198,152.50","384,171","116,743,464,500"
2024-05-17,"276,500","295,500","270,500","291,000","294,700.00","287,475.00","196,104.17","452,242","128,755,907,500"
2024-05-16,"308,500","311,500","287,000","290,000","298,300.00","289,525.00","194,172.50","520,138","153,894,691,000"
2024-05-14,"305,000","311,000","285,000","294,000","294,000.00","290,850.00","192,245.83","378,051","111,389,986,500"
2024-05-13,"303,000","324,000","300,000","300,500","287,100.00","294,225.00","190,281.67","512,140","159,476,677,000"
2024-05-10,"309,500","316,500","286,000","298,000","281,000.00","297,475.00","188,267.50","543,602","163,606,219,000"
2024-05-09,"265,500","314,000","263,500","309,000","277,100.00","300,725.00","186,267.50","1,181,964","355,936,374,000"
2024-05-08,"253,500","271,000","251,500","268,500","272,500.00","303,175.00","184,144.17","343,788","90,642,449,500"
2024-05-07,"269,000","273,500","257,000","259,500","278,600.00","306,975.00","182,380.00","369,694","96,776,965,500"
2024-05-03,"281,000","281,500","270,000","270,000","282,800.00","310,775.00","180,695.83","224,934","61,619,024,500"
2024-05-02,"285,500","288,500","272,000","278,500","285,300.00","313,125.00","178,940.00","265,410","73,708,409,500"
2024-04-30,"306,000","307,000","285,000","286,000","284,800.00","312,350.00","177,130.00","323,371","94,134,196,000"
2024-04-29,"283,000","300,000","280,000","299,000","282,600.00","310,425.00","175,184.17","360,598","105,880,755,000"
2024-04-26,"284,000","292,500","276,500","280,500","277,800.00","306,825.00","173,114.17","226,021","63,851,825,500"
2024-04-25,"271,500","294,500","271,500","282,500","281,600.00","304,625.00","171,193.33","395,610","112,739,334,500"
2024-04-24,"282,500","286,500","269,500","276,000","288,200.00","301,850.00","169,270.00","410,994","114,093,537,500"
2024-04-23,"282,000","295,500","275,000","275,000","293,300.00","298,675.00","167,428.33","472,187","134,105,297,000"
2024-04-22,"289,500","305,500","273,500","275,000","304,700.00","296,250.00","165,595.00","664,306","189,388,960,000"
2024-04-19,"315,500","321,000","297,500","299,500","313,000.00","293,975.00","163,746.67","395,932","119,876,956,000"
2024-04-18,"301,500","322,000","291,000","315,500","325,400.00","290,350.00","161,704.17","458,978","142,724,973,500"
2024-04-17,"339,000","342,000","297,000","301,500","335,400.00","286,525.00","159,556.67","822,670","256,796,977,000"
2024-04-16,"319,000","339,000","317,000","332,000","347,700.00","282,925.00","157,485.00","630,539","207,178,593,500"
2024-04-15,"347,000","350,000","316,000","316,500","352,900.00","277,875.00","155,183.33","991,439","329,327,211,500"
2024-04-12,"366,000","389,500","358,500","361,500","358,500.00","273,600.00","153,034.17","694,527","260,543,765,500"
2024-04-11,"363,000","371,000","348,500","365,500","353,300.00","267,150.00","150,496.67","483,367","174,049,184,500"
